--- Pendolo di torsione ---
Tempo,Forzante,Pendolo,Ampiezza,Fase
0,000	-18,611	-0,237	0,611	-90,093
0,020	-15,506	-0,256	0,611	-90,157
0,040	-12,192	-0,274	0,611	-90,270
0,060	-8,642	-0,287	0,611	-90,429
0,080	-5,033	-0,296	0,611	-90,835
0,100	-1,278	-0,300	0,611	-90,835
0,120	2,471	-0,305	0,616	-91,057
0,140	6,155	-0,298	0,616	-91,275
0,160	9,770	-0,291	0,616	-91,473
0,180	13,240	-0,276	0,616	-91,641
0,200	16,521	-0,258	0,616	-91,765
0,220	19,540	-0,241	0,616	-91,841
0,240	22,317	-0,216	0,616	-91,861
0,260	24,696	-0,185	0,616	-91,826
0,280	26,753	-0,156	0,616	-91,735
0,300	28,392	-0,124	0,616	-91,594
0,320	29,638	-0,088	0,616	-91,413
0,340	30,422	-0,055	0,616	-91,201
0,360	30,771	-0,017	0,616	-90,972
0,380	30,674	0,020	0,616	-90,738
0,400	30,132	0,058	0,616	-90,514
0,420	29,154	0,091	0,616	-90,313
0,440	27,731	0,127	0,616	-90,147
0,460	25,932	0,157	0,616	-90,027
0,480	23,719	0,194	0,616	-89,959
0,500	21,162	0,214	0,616	-89,951
0,520	18,299	0,243	0,616	-92,542
0,540	15,146	0,261	0,616	-92,470
0,560	11,773	0,281	0,616	-92,347
0,580	8,255	0,296	0,616	-92,179
0,600	4,598	0,306	0,616	-91,977
0,620	0,881	0,310	0,616	-91,754
0,640	-2,852	0,310	0,616	-91,528
0,660	-6,521	0,305	0,616	-91,311
0,680	-10,157	0,294	0,616	-91,119
0,700	-13,605	0,277	0,616	-90,962
0,720	-16,865	0,267	0,616	-90,853
0,740	-19,895	0,244	0,616	-90,794
0,760	-22,575	0,221	0,616	-90,795
0,780	-24,959	0,190	0,616	-90,855
0,800	-26,941	0,157	0,616	-90,973
0,820	-28,617	0,125	0,616	-91,141
0,840	-29,777	0,090	0,616	-91,349
0,860	-30,535	0,053	0,616	-91,586
0,880	-30,809	0,019	0,616	-91,838
0,900	-30,658	-0,013	0,616	-92,091
0,920	-30,094	-0,054	0,616	-92,331
0,940	-29,047	-0,086	0,616	-92,545
0,960	-27,586	-0,130	0,616	-92,720
0,980	-25,711	-0,153	0,616	-92,844
1,000	-23,450	-0,190	0,616	-92,918
1,020	-20,867	-0,212	0,616	-92,930
1,040	-17,934	-0,241	0,616	-92,884
1,060	-14,776	-0,255	0,616	-92,779
1,080	-11,408	-0,277	0,616	-92,626
1,100	-7,799	-0,287	0,616	-92,206
1,120	-4,146	-0,301	0,616	-92,206
1,140	-0,414	-0,301	0,616	-91,963
1,160	3,346	-0,302	0,616	-91,722
1,180	7,025	-0,295	0,616	-91,491
1,200	10,592	-0,287	0,616	-91,287
1,220	14,029	-0,269	0,616	-91,121
1,240	17,252	-0,254	0,616	-91,007
1,260	20,211	-0,231	0,616	-90,946
1,280	22,897	-0,204	0,616	-90,944
1,300	25,207	-0,179	0,616	-91,003
1,320	27,183	-0,147	0,616	-91,119
1,340	28,725	-0,115	0,616	-91,285
1,360	29,858	-0,078	0,616	-91,491
1,380	30,551	-0,043	0,616	-91,729
1,400	30,792	-0,005	0,616	-91,981
1,420	30,599	0,028	0,616	-92,230
1,440	29,928	0,061	0,616	-92,462
1,460	28,854	0,099	0,616	-92,663
1,480	27,317	0,133	0,616	-92,823
1,500	25,443	0,162	0,616	-92,932
1,520	23,149	0,196	0,616	-92,985
1,540	20,512	0,219	0,616	-92,977
1,560	17,590	0,249	0,616	-92,910
1,580	14,389	0,262	0,616	-92,789
1,600	10,979	0,286	0,616	-92,623
1,620	7,423	0,293	0,616	-92,416
1,640	3,754	0,305	0,616	-92,186
1,660	0,011	0,307	0,616	-91,944
1,680	-3,711	0,312	0,617	-91,705
1,700	-7,412	0,298	0,617	-91,480
1,720	-10,968	0,294	0,617	-91,288
1,740	-14,384	0,273	0,617	-91,134
1,760	-17,585	0,260	0,617	-91,034
1,780	-20,534	0,235	0,617	-90,990
1,800	-23,166	0,212	0,617	-91,004
1,820	-25,486	0,182	0,617	-91,076
1,840	-27,393	0,153	0,617	-91,203
1,860	-28,918	0,120	0,617	-91,375
1,880	-29,998	0,082	0,617	-91,583
1,900	-30,631	0,049	0,617	-91,815
1,920	-30,857	0,012	0,617	-92,056
1,940	-30,578	-0,026	0,617	-92,294
1,960	-29,933	-0,061	0,617	-92,513
1,980	-28,741	-0,095	0,617	-92,701
2,000	-27,248	-0,130	0,617	-92,848
2,020	-25,228	-0,158	0,617	-92,942
2,040	-22,908	-0,192	0,617	-92,981
2,060	-20,195	-0,216	0,617	-92,961
2,080	-17,220	-0,247	0,617	-92,882
2,100	-14,019	-0,258	0,617	-92,748
2,120	-10,570	-0,279	0,617	-92,571
2,140	-6,972	-0,289	0,617	-92,358
2,160	-3,271	-0,297	0,617	-92,122
2,180	0,478	-0,295	0,617	-91,875
2,200	4,189	-0,296	0,617	-91,637
2,220	7,858	-0,287	0,617	-91,416
